"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"339","Official Twitter page for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives",2377,3525,97,944,"http://t.co/te6g8rCVjt","Joyce Beatty",1371664029,0,1,"RepBeatty","Ohio's Third District","en","1531521632",234,0,"http://pbs.twimg.com/profile_images/575310132705239040/3ksVCNI6_normal.jpeg"
"340","Father, husband, and former prosecutor proudly representing #OH14",2082,3800,13,2202,"http://t.co/w7lVGg29p2","Dave Joyce",1354137134,0,1,"RepDaveJoyce"," Washington, DC","en","976969338",250,0,"http://pbs.twimg.com/profile_images/471370204589469696/jzOCXHSW_normal.jpeg"
"341","Congressman Jim Bridenstine has the honor of serving Oklahoma's First Congressional District.",1308,16086,230,3032,"http://t.co/jyfO2zOWnk","Jim Bridenstine",1358271218,0,1,"RepJBridenstine","","en","1092757885",785,0,"http://pbs.twimg.com/profile_images/378800000762626692/6cfa7621ee98bce9ca610c6011676e9c_normal.jpeg"
"342","Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress.",1344,5144,12,1067,"http://t.co/kI4gVUPg","Markwayne Mullin",1357303435,0,1,"RepMullin","Oklahoma","en","1060370282",324,0,"http://pbs.twimg.com/profile_images/598176618813726720/nBZLDgZC_normal.jpg"
"343","Husband, Father of two young daughters, Small Businessman and Soldier. Congressman - 4th District (PA).",1820,5506,4,2470,"http://t.co/eu7DgRNJJj","RepScottPerry",1231439398,0,1,"RepScottPerry","","en","18773159",387,0,"http://pbs.twimg.com/profile_images/482927605688328192/8x2iPIsW_normal.jpeg"
"344","Thank you for visiting my official Twitter account. I proudly represent and serve Pennsylvania's Twelfth Congressional District.",3200,2777,95,483,"http://t.co/tKLzNwuY39","Keith Rothfus",1360187496,0,1,"KeithRothfus","","en","1155212191",253,0,"http://pbs.twimg.com/profile_images/3221030680/c328312ca7476a259edd6414e435fedc_normal.jpeg"
"345","Proudly representing Pennsylvania's 17th Congressional District. For more information, please use my official website: http://t.co/hAzCwXG9",1722,3788,2,1452,"http://t.co/8OVHEJc0","Matt Cartwright",1345752356,0,1,"RepCartwright","Moosic, PA","en","776664410",283,0,"http://pbs.twimg.com/profile_images/426102071914287104/8hutNByi_normal.jpeg"
"346","Proudly representing South Carolina's 7th Congressional District. Find me on FB at http://t.co/IB00psnMmQ.",449,3858,0,301,"http://t.co/S6o0ATa6","Congressman Tom Rice",1357234505,0,1,"RepTomRice","","en","1058345042",284,0,"http://pbs.twimg.com/profile_images/3087214605/bd94115eb4cbc13f474eea2d678e6372_normal.jpeg"
"347","Representative for the 14th Congressional District of Texas.  http://t.co/3YiUH4dPNE | Instagram: TXRandy14",1359,4406,51,353,"http://t.co/8FFRq13svl","Randy Weber",1357227006,0,1,"TXRandy14","Friendswood, TX","en","1058051748",337,0,"http://pbs.twimg.com/profile_images/3060171248/70b44b40540a1bdeee9e49f6a3302456_normal.jpeg"
"348","US Congress - El Paso",2639,11632,478,510,"http://t.co/Qj93LtfQeE","Rep. Beto O'Rourke",1359557571,0,1,"RepBetoORourke","El Paso, TX","en","1134292500",310,0,"http://pbs.twimg.com/profile_images/611887300155305984/_k1OAlFH_normal.jpg"
"349","Texas Congressman",4622,28165,484,649,"http://t.co/SBuEnv1k","Joaquin Castro ",1293561662,0,1,"JoaquinCastrotx","San Antonio, Texas","en","231510077",829,0,"http://pbs.twimg.com/profile_images/1268126174/Joaquin_Castro_in_2008_normal.jpg"
"350","I am honored to represent the 25th Congressional District of Texas. Member of @FinancialCmte.",1231,2590,11,535,"http://t.co/JVoBEX18T4","Rep. Roger Williams",1357845682,0,1,"RepRWilliams","Central Texas","en","1077446982",235,0,"http://pbs.twimg.com/profile_images/436164065665093632/aealPAUa_normal.jpeg"
"351","Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW",1511,4971,531,2724,"http://t.co/MuCQE2uJdQ","Rep. Marc Veasey",1357746567,0,1,"RepVeasey","Dallas-Fort Worth, Texas","en","1074129612",342,0,"http://pbs.twimg.com/profile_images/592749293687144450/0Y90-CoT_normal.jpg"
"352","U.S. Congressman for the 34th District of Texas - Privileged to represent South Texans.",561,3008,53,214,"http://t.co/c4zAIMBGjU","US Rep. Filemon Vela",1358007846,0,1,"RepFilemonVela","District 34, Texas","en","1083448909",255,0,"http://pbs.twimg.com/profile_images/463712019523194880/pM1rWMry_normal.jpeg"
"353","Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",1376,3521,161,688,"http://stewart.house.gov","Rep. Chris Stewart",1357679299,0,1,"RepChrisStewart","Utah and DC","en","1072008757",288,0,"http://pbs.twimg.com/profile_images/378800000828740520/3a6960ab5bb904c7a6e73e6099e2b2ef_normal.jpeg"
"354","Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP",860,4652,45,114,"http://t.co/Gxq1ZBnp","Rep. Derek Kilmer",1357251302,0,1,"RepDerekKilmer","","en","1058917562",313,0,"http://pbs.twimg.com/profile_images/3061515311/fbcaf3a229791fc9d7e1de0a5198a2fb_normal.jpeg"
"355","Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP",863,4657,45,114,"http://t.co/Gxq1ZBnp","Rep. Derek Kilmer",1357251302,0,1,"RepDerekKilmer","","en","1058917562",313,0,"http://pbs.twimg.com/profile_images/3061515311/fbcaf3a229791fc9d7e1de0a5198a2fb_normal.jpeg"
"356","Proudly representing #WA10 in U.S. Congress. Husband, dad, @GonzagaBulldogs fan & @Seahawks #12thMan. Advocate for veterans, family-wage jobs & economic growth.",1631,3328,269,854,"http://t.co/GdaqBMIimV","Denny Heck",1357570536,0,1,"RepDennyHeck","South Puget Sound, WA","en","1068499286",254,0,"http://pbs.twimg.com/profile_images/603584814885818369/Ut-OXWMg_normal.jpg"
"357","I am honored to serve the people of Wisconsin's Second District in the U.S. House of Representatives.",1940,5147,10,1515,"http://t.co/0KnJxm6wBU","U.S. Rep. Mark Pocan",1361487544,0,1,"repmarkpocan","Madison, WI and Washington, DC","en","1206227149",367,0,"http://pbs.twimg.com/profile_images/459019307448406016/aehFRwKN_normal.jpeg"
"358","Official Twitter account for Robin Kelly, U.S. Representative for IL's 2nd District and chairwoman of the Congressional Black Caucus Health Braintrust.",971,2501,11,378,"http://t.co/V1xSf6mC0D","Robin Kelly",1365534121,0,1,"RepRobinKelly","","en","1339931490",213,0,"http://pbs.twimg.com/profile_images/427921249809862656/bAgQceBN_normal.jpeg"
"359","Honored to represent the families of Missouri's 8th Congressional District in the United States House of Representatives.",1971,3175,18,771,"http://t.co/dxAOG6A9MK","Rep. Jason Smith",1374855183,0,1,"RepJasonSmith","MO-08","en","1623308912",203,0,"http://pbs.twimg.com/profile_images/591686804236959744/11sTR5eK_normal.png"
"360","Proudly representing the people of the 5th District of Massachusetts. Please visit http://t.co/PxctcPxwGe for more information.",1215,4833,74,4125,NA,"Katherine Clark",1389812027,0,1,"RepKClark","","en","2293131060",199,0,"http://pbs.twimg.com/profile_images/593830601389518848/HWRJs3No_normal.jpg"
"361","I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.",3934,4551,169,2421,"http://t.co/u2pktSOk1E","Rep. Bradley Byrne",1387482138,0,1,"RepByrne","Southwest Alabama","en","2253968388",228,0,"http://pbs.twimg.com/profile_images/486875573621243904/k9gOpg-E_normal.jpeg"
"362","Proudly representing Florida's 13th District and the people of Pinellas County in the U.S. House.",745,1596,238,157,"http://t.co/7bXFXJjE5c","David Jolly",1399466131,0,1,"USRepDavidJolly","Indian Shores, FL","en","2482022082",99,0,"http://pbs.twimg.com/profile_images/464196322317189120/MESrxe3f_normal.png"
"363","Member of Congress (FL-19)",504,1530,9,70,"https://t.co/f7wKPZ5rGI","Rep. Curt Clawson",1407957351,0,1,"RepCurtClawson","Bonita Springs, FL","en","2730150631",125,0,"http://pbs.twimg.com/profile_images/499641881471365120/76_IJoeB_normal.jpeg"
"364","Congresswoman. Educator. Artist.",575,1152,13,614,"http://t.co/wPfZomLDsD","Alma S. Adams",1418327647,0,1,"RepAdams","","en","2916086925",75,0,"http://pbs.twimg.com/profile_images/543133602993557504/WjhTGUiW_normal.jpeg"
"365","Proudly serving the people of Alabama's 6th Congressional District.",571,1495,127,673,"https://t.co/f5XX8KdQxm","Gary Palmer",1415141918,0,1,"USRepGaryPalmer","","en","2861616083",87,0,"http://pbs.twimg.com/profile_images/555081849131659264/qT1e68sV_normal.jpeg"
"366","Official account for Rep French Hill. Ninth generation Arkansan and Little Rock businessman proudly representing Arkansas's Second Congressional District. #AR2",389,1437,36,467,"http://t.co/TggD8sC0rY","French Hill",1420070098,0,1,"RepFrenchHill","Washington, DC","en","2953974395",82,0,"http://pbs.twimg.com/profile_images/552219329576460288/xomEwSb7_normal.jpeg"
"367","Congressman representing the Fourth District of Arkansas. Husband. Father of four. Hot Springs native. @UArkansas, @Yale alum.",593,1461,8,433,"http://t.co/bUBMKnHR6S","Rep. Bruce Westerman",1414727868,0,1,"RepWesterman","Hot Springs, Arkansas","en","2852998461",90,0,"http://pbs.twimg.com/profile_images/577876090309361664/itRREUo8_normal.jpeg"
"368","Honored to represent the people of Arizona's Second Congressional District in the U.S House of Representatives.",432,1723,8,411,"http://t.co/uhBWBXn5BB","Martha McSally",1420576777,0,0,"RepMcSally","Southern Arizona","en","2964949642",95,0,"http://pbs.twimg.com/profile_images/555153275821887489/W5U7tZVg_normal.jpeg"
"369","Proud representative of Arizona's 7th Congressional District",633,1906,39,641,"http://t.co/isis6YaDPG","Ruben Gallego",1420659068,0,1,"RepRubenGallego","Phoenix, AZ","en","2966570782",97,0,"http://pbs.twimg.com/profile_images/595971591403515904/6f8XDki6_normal.jpg"
"370","Honored to represent California's 11th Congressional District. Serving on the House Education and Workforce and Oversight and Government Reform Committees.",204,766,19,154,"https://t.co/pa3PJQ8V5B","Mark DeSaulnier",1420731133,0,1,"RepDeSaulnier","Concord, CA ","en","2968007206",56,0,"http://pbs.twimg.com/profile_images/571367680653787136/oz03xrTR_normal.jpeg"
"371","Proudly representing California's 25th Congressional District.",104,414,12,191,"https://t.co/JnqzI2oWdw","Rep. Steve Knight",1421069059,0,1,"SteveKnight25","","en","2974648323",27,0,"http://pbs.twimg.com/profile_images/560528293292548096/zPZwgtN3_normal.jpeg"
"372","Pete Aguilar represents CA’s 31st Congressional District. A former Mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",152,577,0,105,"http://t.co/o4deRoUnuK","Pete Aguilar",1423083683,0,1,"RepPeteAguilar","San Bernardino, CA","en","3018670151",47,0,"http://pbs.twimg.com/profile_images/563359439898415104/7m7GoHmq_normal.jpeg"
"373","Honored to represent CA33 in Congress. Serving on Budget, Oversight and Gov. Reform Committees. Democratic Freshman Class President. Lt Col. Air Force Reserves.",430,1596,5,1522,"https://t.co/gVv4Qfdiiu","Rep. Ted Lieu",1424376534,0,1,"RepTedLieu","Washington D.C. & Los Angeles","en","3044993235",79,0,"http://pbs.twimg.com/profile_images/568758808978022400/2pH8o48y_normal.jpeg"
"374","U.S. Representative for California's 35th District",2578,2332,934,607,"http://t.co/gGnDS8hiES","Norma Torres",1294641014,0,1,"NormaJTorres","","en","236279233",169,0,"http://pbs.twimg.com/profile_images/553643610084610048/6hiqkvqW_normal.jpeg"
"375","Wife, mother of 4 awesome children, and in my spare time - Congresswoman to #CA45.",1769,3619,314,1003,"http://t.co/WOZuxf3k21","Mimi Walters",1245200399,0,1,"RepMimiWalters","Irvine, CA","en","47798449",222,0,"http://pbs.twimg.com/profile_images/568467816089546752/n3BHuNVi_normal.jpeg"
"376","Husband. Father. Proudly represent the wonderful people of Colorado CD-04.",350,1428,34,266,"http://t.co/Tl3R80YNB1","Congressman Ken Buck",1415198970,0,1,"RepKenBuck"," Windsor, CO | Washington, DC","en","2862577383",82,0,"http://pbs.twimg.com/profile_images/552483330839433216/tt64NtR4_normal.jpeg"
"377","Representing North Florida's Second Congressional District http://t.co/gXnjCabyW5",314,1509,186,621,"http://t.co/NAK8aLw4hV","Rep. Gwen Graham",1420491383,0,1,"RepGwenGraham","","en","2962681881",90,0,"http://pbs.twimg.com/profile_images/581195128909402112/YEo2UP7n_normal.jpg"
